,keyword,lang,conf
0,gurken einwecken,de,0.999996022821021
1,gurken pflanzen,de,0.999997305668759
2,gurkenpflanzen pflegen,de,0.999998146101357
3,gurkensalat dill,de,0.999995028508308
4,gurkensuppe kalt,de,0.999995158186702
5,Gurktaler Vz,de,0.999996884218307
6,gustav büsing,de,0.7142849868557013
7,gute besserung,de,0.999996982799895
8,gute handyspiele 2015,de,0.999996580513568
9,gute spiele für android,de,0.99999590127086
10,guzmania pflege,it,0.571428000803876
11,gwen stefani,de,0.999995132128428
12,gwxux funktioniert nicht mehr,de,0.999998312073499
13,gwxux funktioniert nicht mehr AS,de,0.999997927853113
14,gwyneth paltrow,en,0.7142841620959565
15,gyros rezept,es,0.5714276829706949
16,gzsz news,pl,0.999997982846814
17,gzsz vince und sunny,en,0.42857144845057904
18,gzsz vorschau,de,0.999996084937185
19,höchstgeschwindigkeit österreich,de,0.999996376704099
20,höchstsatz arbeitslosengeld,de,0.999998450307062
21,höhe mutterschaftsgeld,de,0.999998789449070
22,hähnchen curry,de,0.7142824427999541
23,hähnchen im backofen,de,0.999997431301185
24,hähnchenschenkel grillen,de,0.999998295935009
25,häkelanleitung kostenlos,de,0.999996963079114
26,häkelanleitung tiere,de,0.999998345005342
27,häkeln für anfänger,de,0.999997280312705
28,häkeln lernen,de,0.999999160994369
29,hände schlafen ein,de,0.999998623232108
30,häufiges wasserlassen,de,0.999998306017987
31,hüftspeck abnehmen,de,0.999997064328208
32,hühnerauge hausmittel,de,0.999998371800339
33,hühnerstall selber bauen,de,0.999997159072180
34,haarausfall forum,de,0.5714287026254655
35,haarausfall nach der geburt,de,0.99999860513239
36,haarausfall nach der schwangerschaft,de,0.999997317999582
37,haarausfall nach schwangerschaft,de,0.999998637526290
38,haarausfall stillzeit,de,0.999995875965831
39,haarbürste reinigen,de,0.999996924459838
40,haare brechen ab,de,0.999996450839300
41,haare entfärben,de,0.999996850860132
42,haare entfernen,de,0.999995574654973
43,haare färben,de,0.999996867113997
44,haare färben in der schwangerschaft,de,0.999997488943234
45,haare färben schwanger,de,0.999996946519039
46,haare flechten,de,0.999997425719723
47,haare schneiden mond,de,0.999997728133927
48,haare schneiden mondkalender,de,0.99999749631970
49,haare schneiden nach dem mond,de,0.999997323378884
50,haareschneiden nach dem mond,de,0.999998203996296
51,haarfarbe von der haut entfernen,de,0.99999530870817
52,haarfarbe von haut entfernen,de,0.999998260780413
53,haarschnitte für feines haar,de,0.999996956650138
54,hackfleisch rezepte,de,0.99999587403053
55,hainbuche schneiden,de,0.999999499310195
56,hainbuchenhecke schneiden,de,0.999998194518228
57,halbmarathon trainingsplan,en,0.999995796753411
58,hallux valgus operation AS,fr,0.7142824992190621
59,halsschmerzen gehen nicht weg,de,0.999997461107049
60,halsschmerzen hausmittel,de,0.999997278821185
61,halsschmerzen was tun,de,0.999997761317321
62,halswickel bei halsschmerzen,de,0.99999813116857
63,hamburg mit kindern,de,0.999995443776922
64,handy games 2015,en,0.999997456912418
65,handy orten,en,0.999997398725115
66,handy spiele 2015,en,0.999995642031978
67,handy wird heiß,de,0.8571416476603764
68,Handybilder kostenlos,de,0.99999661504432
69,hanfpalme pflege,de,0.5714247342437079
70,hang seng,en,0.999992455243103
71,hangouts angehalten,de,0.857141192165811
72,hanka rackwitz,pl,0.8571421238694445
73,hannes jaenicke,de,0.999996452690649
74,hannover 96,en,0.999995392188688
75,hannover 96 spielplan,it,0.999995178883969
76,hansa rostock,es,0.5714289304546497
77,hansapark 2 für 1 gutschein,de,0.999998855355055
78,harry potter neuer film,fr,0.571425764724266
79,harry styles,en,0.999997164938496
80,hart aber herzlich,de,0.999998132634253
81,harter bauch,de,0.999997632865868
82,harter stuhlgang,de,0.999996408075848
83,harter stuhlgang was tun,de,0.999994603489680
84,hartgekochtes ei,de,0.999998307129215
85,hartriegel schneiden,de,0.999997789875087
86,hartz 4,de,0.999998311183708
87,hartz 4 AS,de,0.999998691873399
88,hartz 4 aufstockung,de,0.999997921901670
